Jar #,Date,Cruise,Year,Time,Day or Night,LatDec,LonDec,ADCP_velo,Water Depth,Tow Depth (m),SST (°C),Chla,SSS,Moon Phase %,risen or set,Distance (km) to nearest island ,What is the nearest island?,Tow Type,Region,Current,Tow Length (m),Net Area (m2),Tow Volume (m3),Zoop Biomass (ml),Zpl Density (ml/m3),Tuna,Skipjack,Thunnus,Unidentified Thunnus,Yellowfin,Bigeye,Auxis,Putative Hybrid,Tuna Density (ml/m3),Skipjack Density,Thunnus Density,Unidentified Thunnus Density,Yellowfin Density,Bigeye Density,Auxis Density,Putative Hybrid Density,Calanoid Copepod,Ostracod,Chaetognath,Corycaeus Copepod,Cyclopoid Copepod,Copilia spp. Copepod,Cladoceran,Euphausid Shrimp,Pteropod,Sapphirina Copepod,Mysid Shrimp,Salp,Siphonophore,Foraminifera,Hyperia spp. Amphipod,Opisthobranchia,Prosobranchia Snail,Radiolarian,Alciopid Polychaete,Lucifer Shrimp,Bubble-Raft Snail,Shrimp Larvae,Pronoe spp. Amphipod,Appendicularian,Stomatapoda,Phronima spp. Amphiopod,Leptocotis spp. Amphipod,Pterotracheoidea,Mimonectes spp. Amphipod,Gastropod,Vibilia spp. Amphipod,Velella velella,Gammarid Amphiopod,True Shrimp,Zoea,Cephalopods,Bristle Worm,Tuna Crab,Unknown Worm,Porpita porpita,Schyphozoa,Isopoda,Hermit Crab,Echuiridae,Lobster,Unknown,Total Inverts,Acanthuridae,Acropomatidae,Alepisauridae,Amarsipidae,Apogonidae,Astronesthidae,Balistidae,Blenniidae,Bramidae,Bregmacerotidae,Carangidae,Ceratiidae,Ceratioid,Chaetodontidae,Chiasmodontidae,Coryphaenidae,Clupeidae,Diodontidae,Diretmidae,Echeneidae,Engraulidae,Epigonidae,Exocoetidae,Gempylidae,Gigantactinidae,Gobiidae,Gonostomatidae,Hemiramphidae,Holocentridae,Howellidae,Leptocephalus,Lethrinidae,Lutjanidae,Malacosteidae,Melanostomiidae,Mullidae,Myctophidae,Myctophiformes,Nemichthyidae,Nomeidae,Notosudidae,Oneirodidae,Ophidiidae,Paralepididae,Phosichthyidae,Pomacentridae,Scombridae,Scopelarchidae,Scorpaenidae,Serranidae,Sphyraenidae,Stomiiformes,Tetragonuridae,Xiphiidae,Unknown,Total Fish,Fish Density,Total non-tuna,non-tuna density
S261-002-NT,8-Jul-15,S261,2015,2239,Night,18.702,-159.117,0.063,N/A,0,27.8,2.35,34.48,54,set,,,Neuston,NPSTG,NPSTG,2102.1,0.5,1051.05,14,0.013320013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,7,22,6,0,0,5,2,0,8,0,0,2,11,0,0,0,1,3,0,51,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S261-004-NT,9-Jul-15,S261,2015,2203,Night,16.788,-159.818,0.48,N/A,0,27.6,2.58,34.51,43,set,,,Neuston,NPSTG,NPSTG,1459.7,0.5,729.85,9,0.012331301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,5,0,28,5,0,0,13,2,5,6,0,7,2,25,0,16,0,0,6,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S261-006-NT,11-Jul-15,S261,2015,2321,Night,11.37,-162.735,0.31,N/A,0,28.9,2.24,34.4,22,set,,,Neuston,NPSTG,NPSTG,2456,0.5,1228,18,0.01465798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,47,2,11,6,0,0,2,0,0,10,2,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S261-008-NT,12-Jul-15,S261,2015,2339,Night,8.842,-164.172,0.369,N/A,0,29.5,2.52,34.08,14,set,,,Neuston,NEC,NEC,2051.3,0.5,1025.65,18,0.017549846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1,7,27,4,0,0,29,5,0,14,0,4,0,23,0,11,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S261-011-NT,13-Jul-15,S261,2015,2259,Night,6.498,-165.553,0.708,N/A,0,30,2.57,34.22,7,set,,,Neuston,NECC,NECC,1183,0.5,591.5,7.4,0.012510566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,1,6,6,0,0,0,5,0,0,0,0,0,28,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S261-012-TTD,14-Jul-15,S261,2015,1117,Day,5.157,-165.907,0.728,5867,87,30.2,2.32,34.31,5,risen,612.015,Kingman Reef,Deep Tucker,NECC,NECC,911.9919,1,911.9919,3.1,0.003399153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,35,1,0,0,0,1,3,0,0,0,24,16,0,0,0,0,2,2,0,0,0,0,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.003289503,3,0.003289503
S261-014-NT,14-Jul-15,S261,2015,2322,Night,3.945,-166.117,0.829,N/A,0,30.4,3.26,34.42,3,set,,,Neuston,NECC,NECC,1887.4,0.5,943.7,17,0.018014199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,2,31,3,12,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S261-017-NT,15-Jul-15,S261,2015,2234,Night,1.873,-166.612,0.462,N/A,0,30.3,3.11,34.59,1,set,,,Neuston,NECC,NECC,1627.6,0.5,813.8,6,0.007372819,1,1,0,0,0,0,0,0,0.001228803,0.001228803,0,0,0,0,0,0,132,0,2,17,33,0,0,4,3,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S261-018-NT,16-Jul-15,S261,2015,1123,Day,0.663,-167.283,0.435,5252,0,30.4,2.66,34.6,0,risen,,,Neuston,EUC,EUC,2403.1,0.5,1201.55,5.5,0.004577421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S261-018-TTD,16-Jul-15,S261,2015,114,Day,0.667,-167.283,0.435,5252,116,30.4,2.62,34.6,0,risen,947.46,Tabuaeran,Deep Tucker,EUC,EUC,2756.9886,1,2756.9886,14,0.005078004,102,101,1,1,0,0,0,0,0.036996889,0.036634174,0.000362715,0.000362715,0,0,0,0,107,0,7,33,18,0,0,14,16,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,125,0.045339324,23,0.008342436
S261-019-NT,16-Jul-15,S261,2015,2244,Night,0.013,-168.193,0.526,N/A,0,30.4,3.18,34.47,0,set,,,Neuston,EUC,EUC,2340,0.5,1170,5.8,0.004957265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,13,24,14,0,0,2,5,0,0,0,0,0,15,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S261-020-NT,17-Jul-15,S261,2015,1124,Day,-0.488,-168.913,0.669,5005,0,30.5,2.58,34.52,2,risen,,,Neuston,EUC,EUC,1509.7,0.5,754.85,23.5,0.031132013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S261-020-TTD,17-Jul-15,S261,2015,1110,Day,-0.483,-168.912,0.669,5005,76,30.5,2.62,34.52,2,risen,377.39,Enderbury,Deep Tucker,EUC,EUC,2357.8503,1,2357.8503,49,0.020781642,6,2,4,3,1,0,0,0,0.002544691,0.00084823,0.001696461,0.001272345,0.000424115,0,0,0,118,0,24,9,4,0,0,0,6,4,0,3,11,17,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,14,0.005937612,8,0.003392921
S261-021-NT,18-Jul-15,S261,2015,147,Night,-1.023,-169.755,0.759,5320,0,30.2,3.05,34.53,6,set,273.52,Enderbury,Neuston,EUC,EUC,2442.5,0.5,1221.25,5.5,0.004503582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,1,6,5,0,0,2,13,0,0,0,0,0,0,0,47,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,88,0.072057318,88,0.072057318
S261-021-TTD,18-Jul-15,S261,2015,136,Night,-1.017,-169.757,0.759,5320,109,30.7,2.82,34.68,6,set,273.37,Enderbury,Deep Tucker,EUC,EUC,2359.6659,1,2359.6659,85,0.036022049,8,0,8,6,2,0,0,0,0.00339031,0,0.00339031,0.002542733,0.000847578,0,0,0,46,8,6,14,13,0,0,41,7,0,0,6,0,0,1,0,54,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,200,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,1833,0.776804886,1825,0.773414575
