Sample,2bRAD_sample_id,18s Code,Taxon,Total Length (mm),Inferred Age,Photo,genus,species,Gut contents?,Latitude,Longitude,Region,Current,Cruise,Station,Date,Time,Temp (oC),Fluoro (chl-a),Salinity (psu),Bottom depth (m),Tow depth (m),Tow Length (m),Net Area (m2),Tow Volume (m3),Zoop Biomass (ml),Zpl Density (ml/m3),Moon Phase %,risen or set
S261-017-NT-K1,261-G118,,K. pelamis,N/A,N/A,S261-017-NT-K1,Katsuwonus,pelamis,No,1.873,-166.612,NECC,NECC,S261,S261-017-NT,15-Jul-15,2234,30.3,3.11,34.59,N/A,0,1628,0.5,814,6,0.007371007,1,set
S261-018-TT-K1,261-G28,,K. pelamis,N/A,N/A,S261-018-TT-K1,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K10,261-G37,,K. pelamis,5.3001,4.266888889,S261-018-TT-K10,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K100,261-G116,,K. pelamis,5.5347,4.788222222,S261-018-TT-K100,Katsuwonus,pelamis,1 calanoid,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K101,261-G117,,K. pelamis,N/A,N/A,S261-018-TT-K101,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K11,261-G38,,K. pelamis,5.084,3.786666667,S261-018-TT-K11,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K12,261-G39,,K. pelamis,4.7719,3.093111111,S261-018-TT-K12,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K13,261-G40,,K. pelamis,5.1539,3.942,S261-018-TT-K13,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K14,261-G41,,K. pelamis,4.9076,3.394666667,S261-018-TT-K14,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K15,261-G42,,K. pelamis,5.3193,4.309555556,S261-018-TT-K15,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K16,261-G43,,K. pelamis,5.3705,4.423333333,S261-018-TT-K16,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K17,261-G44,,K. pelamis,5.3812,4.447111111,S261-018-TT-K17,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K18,261-G45,,K. pelamis,6.9214,7.869777778,S261-018-TT-K18,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K19,261-G46,,K. pelamis,4.9466,3.481333333,S261-018-TT-K19,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K2,261-G29,,K. pelamis,5.4529,4.606444444,S261-018-TT-K2,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K20,261-G47,,K. pelamis,4.7259,2.990888889,S261-018-TT-K20,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
